Timestamp,Birth Year,Gender,Current Brand,Ownership Duration,Top Priorities,Information Source,Purchase Preference,Previous Brand,Loyalty (1-5),Other Devices?,AI Features (1-5),Foldable Interest,Max Budget,After-Sales (1-5)
07/01/2026 12:33:29,2004,Female,Apple,1 year,Camera,Friend/Family,One-time full payment,Apple,1,Yes,1,Maybe,above 20 lakhs,1
07/01/2026 13:56:44,2002,Female,Apple,2 years,"Camera, Battery, Affordability",Friend/Family,One-time full payment,Apple,5,Yes,4,No,above 20 lakhs,5
07/01/2026 14:18:37,2004,Female,Redmi,2 years,Camera,Friend/Family,One-time full payment,Redmi,3,No,2,No,around 8 lakhs,3
08/01/2026 07:45:22,2006,Female,Huawei,6 years,"Camera, Gaming",Own research,One-time full payment,Huawei,5,No,3,No,around 10 lakhs,5
08/01/2026 08:22:49,2005,Female,Techno,2 years,"Camera, Battery",Friend/Family,One-time full payment,Redmi,2,No,4,Yes,around 10 lakhs,5
08/01/2026 09:33:18,2005,Female,Apple,7 months,"Camera, Battery, SOC",Friend/Family,Second-hand,Oppo,4,No,4,No,around 20 lakhs,5
08/01/2026 10:44:56,2004,Female,Redmi,2 years,"Camera, Battery",Friend/Family,One-time full payment,Vivo,3,No,3,Maybe,around 15 lakhs,4
08/01/2026 11:22:37,2003,Female,Samsung,2 years,"Camera, Battery, Affordability",Tech Youtuber,One-time full payment,Redmi,4,No,4,No,around 15 lakhs,5
08/01/2026 12:56:11,2005,Male,Redmi,2 years,"Gaming, Battery",Friend/Family,One-time full payment,Redmi,4,No,2,No,around 10 lakhs,3
08/01/2026 13:33:44,2004,Female,Apple,2 years,"Camera, Brand Image",Tiktok Comparisons,One-time full payment,Samsung,5,Yes,3,Maybe,above 20 lakhs,3
08/01/2026 14:27:18,2006,Female,Samsung,3 years,"Camera, Battery",In-store demos,One-time full payment,Xiaomi,4,No,4,No,around 15 lakhs,5
09/01/2026 07:22:36,2003,Male,Apple,2 years,"Camera, SOC",Tech Youtuber,One-time full payment,Vivo,4,No,3,No,above 20 lakhs,5
09/01/2026 08:44:19,2004,Female,Redmi,1 year,"Camera, Affordability",Social Media Ads,One-time full payment,Redmi,3,No,3,Maybe,around 8 lakhs,3
09/01/2026 09:33:27,2005,Female,Apple,1 year,"Camera, Battery",Friend/Family,One-time full payment,Redmi,5,Yes,4,No,above 20 lakhs,5
09/01/2026 10:18:42,2004,Male,Samsung,3 years,"Battery, Gaming",Tech Youtuber,One-time full payment,Huawei,3,No,3,No,around 15 lakhs,4
09/01/2026 11:44:28,2003,Female,Xiaomi,2 years,"Camera, Battery, Affordability",Friend/Family,One-time full payment,Samsung,3,No,4,Maybe,around 10 lakhs,5
09/01/2026 12:33:55,2006,Female,Redmi,3 months,"Camera, Gaming",Tiktok Comparisons,One-time full payment,Techno,4,No,4,Yes,around 10 lakhs,5
09/01/2026 13:27:33,2004,Female,Apple,3 years,"Camera, Brand Image",Social Media Ads,One-time full payment,Samsung,5,Yes,3,No,above 20 lakhs,3
09/01/2026 14:56:11,2005,Male,Redmi,1 year,"Battery, SOC",Tech Youtuber,One-time full payment,Redmi,4,No,2,No,around 10 lakhs,3
10/01/2026 07:44:18,2004,Female,Samsung,2 years,"Camera, Battery",Friend/Family,One-time full payment,Redmi,4,No,4,No,around 20 lakhs,5
10/01/2026 08:22:47,2003,Female,Apple,2 years,"Camera, Battery, Brand Image",Tiktok Comparisons,One-time full payment,Xiaomi,5,Yes,4,Maybe,above 20 lakhs,5
10/01/2026 09:33:56,2007,Male,Redmi,2 years,"Gaming, Affordability",Friend/Family,One-time full payment,Redmi,4,No,1,No,around 10 lakhs,3
10/01/2026 10:18:34,2004,Female,Vivo,3 years,"Camera, Battery",In-store demos,One-time full payment,Redmi,2,No,4,No,around 15 lakhs,3
10/01/2026 11:22:19,2005,Female,Apple,1 year,"Camera, Brand Image",Social Media Ads,One-time full payment,Samsung,4,Yes,3,No,above 20 lakhs,3
10/01/2026 12:44:56,2004,Male,Xiaomi,2 years,"Battery, Affordability, SOC",Tech Youtuber,One-time full payment,Vivo,3,No,3,Maybe,around 15 lakhs,5
10/01/2026 13:22:38,2003,Female,Redmi,3 years,"Camera, Battery",Friend/Family,One-time full payment,Redmi,3,No,4,No,around 10 lakhs,5
10/01/2026 14:56:27,2006,Female,Apple,2 years,"Camera, Battery, Brand Image",Tiktok Comparisons,One-time full payment,Redmi,5,No,5,No,above 20 lakhs,5
11/01/2026 07:33:15,2004,Female,Samsung,4 years,"Camera, Battery, Affordability",In-store demos,One-time full payment,Xiaomi,4,No,3,Maybe,around 15 lakhs,4
11/01/2026 08:44:22,2005,Male,Apple,1 year,"Camera, Gaming",Tech Youtuber,One-time full payment,Samsung,4,No,4,No,above 20 lakhs,5
11/01/2026 09:22:49,2004,Female,Redmi,3 years,"Battery, Affordability",Friend/Family,One-time full payment,Redmi,3,No,2,No,around 8 lakhs,4
11/01/2026 10:56:33,2003,Female,Samsung,2 years,"Camera, Brand Image",Tiktok Comparisons,One-time full payment,Apple,4,Yes,4,Yes,around 20 lakhs,5
11/01/2026 11:33:27,2007,Female,Redmi,1 year,"Camera, Gaming",Tech Youtuber,One-time full payment,Redmi,4,No,3,Maybe,around 10 lakhs,3
11/01/2026 12:18:44,2004,Male,Apple,3 years,"Camera, SOC",Friend/Family,One-time full payment,Vivo,4,Yes,3,No,above 20 lakhs,5
11/01/2026 13:44:28,2005,Female,Xiaomi,2 years,"Battery, Affordability",In-store demos,One-time full payment,Samsung,3,No,4,No,around 10 lakhs,3
11/01/2026 14:22:17,2004,Female,Apple,2 years,"Camera, Battery, Brand Image",Social Media Ads,One-time full payment,Redmi,5,Yes,4,Maybe,above 20 lakhs,3
12/01/2026 07:33:55,2003,Male,Redmi,3 years,"Gaming, Battery",Tech Youtuber,One-time full payment,Xiaomi,4,No,2,No,around 15 lakhs,3
12/01/2026 08:56:18,2006,Female,Samsung,2 years,"Camera, Battery",Friend/Family,One-time full payment,Redmi,4,No,4,No,around 15 lakhs,5
12/01/2026 09:33:44,2004,Female,Apple,1 year,"Camera, Brand Image",Tiktok Comparisons,One-time full payment,Samsung,5,Yes,3,No,above 20 lakhs,3
12/01/2026 10:22:37,2005,Male,Redmi,2 years,"Battery, Gaming, Affordability",Friend/Family,One-time full payment,Redmi,5,No,2,No,around 10 lakhs,3
13/01/2026 07:22:18,2004,Female,Redmi,3 years,"Camera, Battery",Friend/Family,One-time full payment,Vivo,3,No,4,Maybe,around 15 lakhs,4
13/01/2026 08:44:33,2003,Female,Samsung,6 months,"Camera, Brand Image",Tech Youtuber,One-time full payment,Samsung,5,Yes,5,Yes,above 20 lakhs,5
13/01/2026 09:33:27,2005,Female,Redmi,2 months,"Battery, Gaming",Friend/Family,One-time full payment,Samsung,4,No,3,No,around 10 lakhs,3
13/01/2026 10:56:41,2006,Female,Apple,3 years,"Camera, Battery, Brand Image",Social Media Ads,One-time full payment,Redmi,5,Yes,4,Maybe,above 20 lakhs,4
13/01/2026 11:22:15,2004,Male,Samsung,1 year,"Camera, Battery, SOC",Tech Youtuber,One-time full payment,Xiaomi,3,No,3,No,around 15 lakhs,4
13/01/2026 12:44:38,2004,Female,Apple,4 years,"Camera, Brand Image",Tiktok Comparisons,One-time full payment,Samsung,4,Yes,4,No,above 20 lakhs,3
13/01/2026 13:18:52,2007,Male,Redmi,1 year,"Gaming, Battery",Friend/Family,One-time full payment,Oppo,4,No,2,Maybe,around 10 lakhs,3
13/01/2026 14:33:27,2005,Female,Samsung,5 years,"Camera, Battery, Affordability",In-store demos,One-time full payment,Redmi,4,No,4,No,around 15 lakhs,5
13/01/2026 15:56:44,2004,Female,Redmi,8 months,"Camera, Gaming",Tiktok Comparisons,Monthly installments,Redmi,2,No,3,Maybe,around 6 lakhs,4
13/01/2026 16:22:19,2003,Female,Apple,2 years,"Camera, Battery",Friend/Family,One-time full payment,Xiaomi,5,Yes,5,No,above 20 lakhs,5
14/01/2026 07:33:48,2004,Male,Redmi,5 years,"Battery, Affordability",Tech Youtuber,One-time full payment,Samsung,5,No,4,No,around 15 lakhs,5
14/01/2026 08:22:36,2002,Female,Xiaomi,3 years,"Camera, Battery, Affordability",Own research,One-time full payment,Redmi,3,No,3,Maybe,around 10 lakhs,4
14/01/2026 09:44:21,2006,Female,Apple,1 year,"Camera, Brand Image",Social Media Ads,One-time full payment,Samsung,4,Yes,3,Maybe,above 20 lakhs,3
14/01/2026 10:18:55,2005,Male,Samsung,2 years,"Gaming, SOC",Tech Youtuber,One-time full payment,Huawei,4,No,4,No,around 20 lakhs,4
14/01/2026 11:56:33,2004,Female,Redmi,4 years,"Camera, Battery, Gaming",Friend/Family,One-time full payment,Xiaomi,3,No,3,Yes,around 15 lakhs,4
14/01/2026 12:33:22,2007,Male,Redmi,2 years,"Battery, Gaming",Tiktok Comparisons,One-time full payment,Redmi,4,No,1,No,around 10 lakhs,2
14/01/2026 13:44:17,2003,Female,Samsung,4 years,"Camera, Battery",In-store demos,One-time full payment,Apple,4,Yes,4,No,around 20 lakhs,5
14/01/2026 14:22:48,2004,Male,Apple,3 years,"Camera, SOC",Friend/Family,One-time full payment,Vivo,4,No,3,Maybe,above 20 lakhs,5
14/01/2026 15:56:29,2005,Female,Redmi,6 months,"Camera, Affordability",Tech Youtuber,One-time full payment,Redmi,3,No,4,No,around 8 lakhs,3
14/01/2026 16:33:14,2000,Male,Infinix,2 years,"Affordability, Battery",Friend/Family,One-time full payment,Redmi,1,No,2,No,around 6 lakhs,2
15/01/2026 07:44:36,2004,Female,Apple,2 years,"Camera, Brand Image",Tiktok Comparisons,One-time full payment,Samsung,5,Yes,4,Yes,above 20 lakhs,3
15/01/2026 08:22:19,2005,Male,Redmi,1 month,"Gaming, SOC",Tech Youtuber,One-time full payment,Redmi,5,No,3,No,around 10 lakhs,3
15/01/2026 09:56:44,2004,Female,Samsung,3 years,"Camera, Battery",Friend/Family,One-time full payment,Redmi,4,No,4,No,around 15 lakhs,5
15/01/2026 10:33:28,2003,Male,Apple,2 years,"Camera, Gaming",Tech Youtuber,One-time full payment,Xiaomi,3,Yes,4,Maybe,above 20 lakhs,4
15/01/2026 11:18:52,2006,Female,Xiaomi,3 months,"Camera, Battery",Social Media Ads,One-time full payment,Techno,3,No,3,No,around 10 lakhs,4
15/01/2026 12:44:37,2004,Female,Redmi,5 years,"Brand Image, Affordability",In-store demos,One-time full payment,Redmi,4,No,4,Maybe,around 15 lakhs,5
15/01/2026 13:22:45,2005,Female,Apple,9 months,"Camera, Battery, Brand Image",Tiktok Comparisons,One-time full payment,Samsung,5,Yes,5,No,above 20 lakhs,4
15/01/2026 14:56:18,2004,Male,Redmi,4 months,"Camera, SOC",Tech Youtuber,One-time full payment,Vivo,2,No,4,Maybe,around 15 lakhs,4
15/01/2026 15:33:29,2007,Female,Samsung,1 year,"Camera, Battery",Friend/Family,One-time full payment,Oppo,4,No,3,No,around 10 lakhs,3
16/01/2026 07:22:47,2004,Female,Apple,3 years,"Camera, Brand Image",Social Media Ads,One-time full payment,Redmi,5,Yes,4,No,above 20 lakhs,3
16/01/2026 08:44:33,2003,Female,Redmi,2 years,"Battery, Gaming, Affordability",Friend/Family,One-time full payment,Samsung,3,No,3,Maybe,around 10 lakhs,4
16/01/2026 09:33:22,2005,Male,Apple,1.5 years,"Camera, Brand Image",Tech Youtuber,One-time full payment,Vivo,4,No,5,No,above 20 lakhs,5
16/01/2026 10:56:41,2004,Female,Samsung,2 years,"Camera, Battery, Affordability",In-store demos,One-time full payment,Xiaomi,4,No,3,Yes,around 15 lakhs,4
16/01/2026 11:22:18,2006,Female,Redmi,5 months,"Camera, Gaming, SOC",Tiktok Comparisons,One-time full payment,Techno,4,No,4,Yes,around 10 lakhs,5
16/01/2026 12:44:29,2002,Female,Apple,4 years,"Battery, Brand Image",Own research,One-time full payment,Huawei,3,Yes,3,No,above 20 lakhs,5
16/01/2026 13:18:54,2004,Male,Redmi,3 years,"Battery, Affordability",Friend/Family,One-time full payment,Redmi,4,No,2,No,around 8 lakhs,3
16/01/2026 14:33:36,2005,Female,Samsung,3 years,"Camera, Battery, Brand Image",Social Media Ads,One-time full payment,Apple,4,Yes,4,Maybe,around 20 lakhs,5
16/01/2026 15:56:22,2003,Female,Redmi,1 year,"Camera, Affordability",Tech Youtuber,One-time full payment,Redmi,2,No,3,No,around 10 lakhs,4
17/01/2026 07:33:49,2004,Female,Apple,2 years,"Camera, Battery",Friend/Family,One-time full payment,Samsung,5,Yes,5,No,above 20 lakhs,5
17/01/2026 08:22:17,2007,Male,Redmi,2 years,"Gaming, Battery",Tiktok Comparisons,One-time full payment,Redmi,4,No,2,No,around 10 lakhs,3
17/01/2026 09:44:38,2004,Female,Samsung,4 years,"Camera, Battery, Affordability",Friend/Family,One-time full payment,Redmi,4,No,4,No,around 15 lakhs,5
17/01/2026 10:33:22,2005,Male,Apple,6 months,"Camera, SOC",Tech Youtuber,One-time full payment,Samsung,3,Yes,4,Maybe,above 20 lakhs,4
17/01/2026 11:56:47,2004,Female,Redmi,3 years,"Battery, Gaming",In-store demos,One-time full payment,Vivo,3,No,3,No,around 15 lakhs,4
17/01/2026 12:22:35,2003,Female,Xiaomi,2 years,"Camera, Battery, Affordability",Tech Youtuber,One-time full payment,Redmi,3,No,4,Maybe,around 10 lakhs,5
17/01/2026 13:44:28,2006,Female,Apple,1 year,"Camera, Brand Image",Social Media Ads,One-time full payment,Samsung,5,Yes,4,No,above 20 lakhs,3
17/01/2026 14:22:51,2004,Male,Redmi,4 years,"Battery, Affordability, SOC",Friend/Family,One-time full payment,Xiaomi,4,No,3,Maybe,around 15 lakhs,4
17/01/2026 15:56:33,2005,Female,Samsung,5 years,"Camera, Battery",Tiktok Comparisons,One-time full payment,Redmi,4,Yes,4,No,around 20 lakhs,5
18/01/2026 07:22:44,2004,Female,Apple,3 years,"Camera, Brand Image, Affordability",Friend/Family,One-time full payment,Samsung,5,Yes,5,Yes,above 20 lakhs,4
18/01/2026 08:44:19,2005,Male,Redmi,2 months,"Gaming, SOC",Tech Youtuber,One-time full payment,Redmi,4,No,3,No,around 10 lakhs,3
18/01/2026 09:33:55,2004,Female,Samsung,2 years,"Camera, Battery",In-store demos,One-time full payment,Xiaomi,3,No,4,No,around 15 lakhs,5
18/01/2026 10:56:22,2003,Female,Apple,4 years,"Camera, Battery, Brand Image",Tiktok Comparisons,One-time full payment,Apple,5,Yes,4,Maybe,above 20 lakhs,3
18/01/2026 11:22:49,2006,Female,Redmi,3 months,"Camera, Gaming",Friend/Family,One-time full payment,Techno,4,No,3,Yes,around 10 lakhs,5
18/01/2026 12:44:33,2004,Male,Samsung,1 year,"Camera, Battery, SOC",Tech Youtuber,One-time full payment,Vivo,3,No,4,No,around 20 lakhs,4
18/01/2026 13:18:27,2005,Female,Redmi,5 years,"Battery, Affordability",Friend/Family,One-time full payment,Redmi,4,No,2,No,around 8 lakhs,3
18/01/2026 14:33:42,2007,Male,Apple,2 years,"Camera, Gaming",Social Media Ads,One-time full payment,Samsung,4,Yes,4,No,above 20 lakhs,5
18/01/2026 15:56:18,2004,Female,Xiaomi,3 years,"Camera, Battery, Affordability",Tech Youtuber,One-time full payment,Redmi,3,No,3,Maybe,around 10 lakhs,4
19/01/2026 07:33:55,2004,Female,Apple,2 years,"Camera, Brand Image",Tiktok Comparisons,One-time full payment,Samsung,5,Yes,5,No,above 20 lakhs,3
19/01/2026 08:22:38,2003,Male,Redmi,4 years,"Battery, Gaming",Friend/Family,One-time full payment,Xiaomi,4,No,2,No,around 15 lakhs,4
19/01/2026 09:44:22,2005,Female,Samsung,3 years,"Camera, Battery",In-store demos,One-time full payment,Redmi,4,No,4,Yes,around 20 lakhs,5
19/01/2026 10:33:17,2006,Female,Apple,1.5 years,"Camera, Battery, Brand Image",Social Media Ads,One-time full payment,Samsung,5,Yes,5,No,above 20 lakhs,4
19/01/2026 11:56:44,2004,Female,Redmi,2 years,"Camera, Gaming",Tech Youtuber,One-time full payment,Vivo,3,No,4,Maybe,around 15 lakhs,5
19/01/2026 12:22:28,2005,Male,Samsung,3 years,"Battery, Affordability",Friend/Family,One-time full payment,Huawei,3,No,3,No,around 10 lakhs,4
19/01/2026 13:44:51,2003,Female,Apple,5 years,"Camera, Brand Image",Tiktok Comparisons,One-time full payment,Xiaomi,4,Yes,4,No,above 20 lakhs,5
19/01/2026 14:22:37,2004,Male,Redmi,1 year,"Gaming, SOC",Tech Youtuber,One-time full payment,Redmi,5,No,3,No,around 10 lakhs,3
19/01/2026 15:56:29,2006,Female,Samsung,2 years,"Camera, Battery",Friend/Family,One-time full payment,Redmi,4,No,4,Maybe,around 15 lakhs,5
20/01/2026 07:22:48,2004,Female,Apple,3 years,"Camera, Battery, Brand Image",Social Media Ads,One-time full payment,Samsung,5,Yes,5,Yes,above 20 lakhs,4
20/01/2026 08:44:33,2005,Male,Redmi,6 months,"Gaming, Battery",Tech Youtuber,One-time full payment,Redmi,4,No,3,No,around 10 lakhs,3
20/01/2026 09:33:26,2003,Female,Xiaomi,4 years,"Camera, Affordability",In-store demos,One-time full payment,Samsung,3,No,4,Maybe,around 10 lakhs,5
20/01/2026 10:56:44,2004,Female,Apple,2 years,"Camera, Brand Image",Tiktok Comparisons,One-time full payment,Redmi,5,Yes,4,No,above 20 lakhs,3
20/01/2026 11:22:19,2007,Male,Redmi,1 year,"Battery, Gaming",Friend/Family,One-time full payment,Oppo,4,No,2,No,around 10 lakhs,3
20/01/2026 12:44:37,2004,Female,Samsung,3 years,"Camera, Battery",Tech Youtuber,One-time full payment,Xiaomi,4,No,4,No,around 20 lakhs,5
20/01/2026 13:18:22,2005,Female,Apple,8 months,"Camera, Battery, Brand Image",Social Media Ads,One-time full payment,Samsung,5,Yes,5,Maybe,above 20 lakhs,4
